platform,Rank,Name,Price,Chg 24H,Chg 7D,Market Cap,Vol (24h),IDO ROI USD,ATH IDO ROI USD,IDO Date,Raised,seedify,seedify,red kite,red kite,bscpad,bscpad,paid,paid,polka,polka,tpad,tpad,dao maker,dao maker,btc price,btc price,,,,init mcap,init FDMC,launchpad,symbol
SFUND,,PocolandPOCO,$0.02,0.0875,-20.60%,N/A,$ 13.67K,0.22,14.4,8 Sep 2021,"$350,000",0.22,14.4,,,,,,,,,,,,,,,8 Sep 2021,,PocolandPOCO,,,SFUND
SFUND,,Bit HotelBTH,$0.04,-9.95%,-40.60%,N/A,$ 385.25K,2.46,14.13,21 Dec 2021,"$450,000",2.46,14.13,,,,,,,,,,,,,,,21 Dec 2021,,Bit HotelBTH,,,SFUND
SFUND,1867,Forest KnightKNIGHT,$0.15,0.0832,-27.50%,$ 595.67K,$ 75.85K,0.98,13,17 Sep 2021,"$100,000",0.98,13,,,,,,,,,,,,,,,17 Sep 2021,,Forest KnightKNIGHT,,,SFUND
SFUND,1888,Age of TanksAOT,$0.08,-9.72%,-26.90%,$ 487.05K,$ 29.34K,0.81,13,28 Nov 2021,"$440,000",0.81,13,,,,,,,,,,,,,,,28 Nov 2021,,Age of TanksAOT,"427,500","10,000,000",SFUND
SFUND,,SnookSNK,$0.24,-0.97%,-7.67%,$ 1.77M,$ 1.00K,0.74,10.41,5 Sep 2021,"$200,000",0.74,10.41,,,,,,,,,,,,,,,5 Sep 2021,,SnookSNK,,,SFUND
SFUND,2056,ScottyBeamSCOTTY,$0.01,0.0514,-13.70%,$ 94.33K,$ 242.99K,0.22,9.55,8 Nov 2021,"$200,000",0.22,9.55,,,,,,,,,,,,,,,8 Nov 2021,,ScottyBeamSCOTTY,,,SFUND
SFUND,1250,Heroes ChainedHEC,$2.58,-3.86%,-14.30%,$ 5.29M,$ 3.93M,7.38,9.47,16 Jan,"$400,000",7.38,9.47,,,,,,,,,,,,,,,16 Jan,,Heroes ChainedHEC,,,SFUND
SFUND,,FanadiseFAN,$0.02,0.0878,-5.87%,$ 90.60K,$ 2.56K,0.15,9.08,28 Jul 2021,"$200,000",0.15,9.08,,,,,,,,,,,,,,,28 Jul 2021,,FanadiseFAN,,,SFUND
SFUND,1178,Gaia EverworldGAIA,$0.05,0.0512,-30.20%,$ 6.44M,$ 38.47K,0.33,8.57,31 Oct 2021,"$300,000",0.33,8.57,,,,,,,,,,,,,,,31 Oct 2021,,Gaia EverworldGAIA,,,SFUND
SFUND,1930,Last SurvivorLSC,$0.01,0.126,-14.20%,$ 379.42K,$ 64.21K,0.87,7.51,7 Dec 2021,"$450,000",0.87,7.51,,,,,,,,,,,,,,,7 Dec 2021,,Last SurvivorLSC,,,SFUND
SFUND,1480,MOBLANDSYNR,$0.11,0.193,0.0758,$ 2.74M,$ 671.04K,5.37,7.35,19 Jan,"$200,000",5.37,7.35,,,,,,,,,,,,,300,46.2,19 Jan,42000,MOBLANDSYNR,"509,641","18,000,000",SFUND
SFUND,1887,World of DefishWOD,$0.04,0.193,-17.40%,$ 489.84K,$ 314.63K,1.35,5.78,27 Dec 2021,"$270,000",1.35,5.78,,,,,,,,,,,,,,,27 Dec 2021,,World of DefishWOD,,,SFUND
SFUND,,ECIOECIO,$0.00,-4.60%,-34.20%,$ 189.27K,$ 10.02K,0.73,5.54,17 Dec 2021,"$250,000",0.73,5.54,,,,,,,,,,,,,330,50.82,17 Dec 2021,46200,ECIOECIO,,,SFUND
