id,rank,slug,name,symbol,category,startDate,endDate,type,tokensForSale,hardCap,raised,ICO_price,ieoPlatformExchange.id,ieoPlatformExchange.name,ieoPlatformExchange.slug,tokenRole,totalTokensForSale,status.code,,,,,,,,,,,,,,,,,
21407,42,sandbox,The Sandbox,SAND,Gaming,8/6/2020 0:00:00,8/13/2020 0:00:00,IEO,360000000,3000000,,0.008333,2,Binance,binance,Utility,,200,,,,,,,,,,,,,,,,,
21407,42,sandbox,The Sandbox,SAND,Gaming,,,Private,120000000,,,0.005,,,,Utility,,200,,,,,,,,,,,,,,,,,
21407,42,sandbox,The Sandbox,SAND,Gaming,,,Pre-sale,515400000,,,0.0036,,,,Utility,,200,,,,,,,,,,,,,,,,,
124,43,theta-token,Theta Token,THETA,Entertainment,,1/4/2018 0:00:00,ICO,0,20000000,,0.12,,,,,,200,,,,,,,,,,,,,,,,,
162765,44,bit-dao,BitDAO,BIT,DeFi,8/30/2021 0:00:00,8/30/2021 0:00:00,IDO,200000000,400000000,,1.416,,,,Utility,,200,,,,,,,,,,,,,,,,,
162765,44,bit-dao,BitDAO,BIT,DeFi,6/1/2021 0:00:00,6/11/2021 0:00:00,Private/Pre-sale,0,,,,,,,Utility,,200,,,,,,,,,,,,,,,,,
3436,46,fantom,Fantom,FTM,Blockchain infrastructure,6/15/2018 0:00:00,6/15/2018 0:00:00,ICO,0,,,0.0438,,,,,,200,,,,,,,,,,,,,,,,,
3436,46,fantom,Fantom,FTM,Blockchain infrastructure,5/1/2018 0:00:00,6/10/2018 0:00:00,Private/Pre-sale,0,,,0.0438,,,,,,200,,,,,,,,,,,,,,,,,
7993,47,thor-chain,THORChain,RUNE,DeFi,7/20/2019 0:00:00,7/21/2019 0:00:00,IEO,10000000,,,0.032,109,Binance Dex,binance-dex,Utility,150000000,200,,,,,,,,,,,,,,,,,
7993,47,thor-chain,THORChain,RUNE,DeFi,,,Private/Pre-sale,130000000,,,0.0245,,,,Utility,150000000,200,,,,,,,,,,,,,,,,,
7993,47,thor-chain,THORChain,RUNE,DeFi,7/20/2019 0:00:00,7/21/2019 0:00:00,IEO,10000000,,,0.038,109,Binance Dex,binance-dex,Utility,150000000,200,,,,,,,,,,,,,,,,,
1258,48,tezos,Tezos,XTZ,Blockchain infrastructure,7/1/2017 0:00:00,7/14/2017 0:00:00,ICO,0,,,0.47,,,,,,200,,,,,,,,,,,,,,,,,
8549,49,klaytn,Klaytn ,KLAY,Blockchain infrastructure,12/1/2018 0:00:00,12/31/2018 0:00:00,Private,0,,,0.03,,,,Utility,,200,,,,,,,,,,,,,,,,,
8549,49,klaytn,Klaytn ,KLAY,Blockchain infrastructure,4/1/2019 0:00:00,4/30/2019 0:00:00,Private,0,,,0.08,,,,Utility,,200,,,,,,,,,,,,,,,,,
26187,50,the-graph,The Graph,GRT,Data Service,10/22/2020 0:00:00,10/25/2020 0:00:00,ICO,400000000,13000000,,0.03,,,,Utility,,200,,,,,,,,,,,,,,,,,
26187,50,the-graph,The Graph,GRT,Data Service,,,Private,200000000,,,0.026,,,,Utility,,200,,,,,,,,,,,,,,,,,
26187,50,the-graph,The Graph,GRT,Data Service,,,Private,3400000000,,,0.003,,,,Utility,,200,,,,,,,,,,,,,,,,,
2,52,eos,EOS,EOS,Blockchain infrastructure,6/26/2017 0:00:00,6/26/2018 0:00:00,ICO,0,,,0.99,,,,,,200,,,,,,,,,,,,,,,,,
25301,57,flow,Flow,FLOW,Blockchain infrastructure,9/22/2020 0:00:00,10/2/2020 0:00:00,ICO,0,,,0.1,,,,Utility,25000000,200,,,,,,,,,,,,,,,,,
