,id,rank,name,symbol,category,tokenRole,totalTokensForSale,endDate,type,tokensForSale,startDate,ieoPlatformExchange,ICO_price,intended_raise,hardCap,softCap,actual_raised,platform,date_1,price_1,sale_1,cumulative_realized_ROI_1,date_2,price_2,sale_2,cumulative_realized_ROI_2,date_3,price_3,sale_3,cumulative_realized_ROI_3,date_4,price_4,sale_4,cumulative_realized_ROI_4,date_5,price_5,sale_5,cumulative_realized_ROI_5,date_6,price_6,sale_6,cumulative_realized_ROI_6
1527,376,,Divi Exchange Token,DIVX,Masternode,,,2017-11-24,ICO,0,2017-10-27,,0.62,2592064.0,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,380,,Snovian.Space,SNOV,Business,,,2017-11-30,ICO,0,2017-10-31,,0.01,2129106.0,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,389,,ALIS,ALIS,Media,,,2017-09-29,ICO,0,2017-09-01,,0.0983,3705000.0,35600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,396,1718.0,Primas,PST,Network,,,2017-08-26,ICO,0,,,0.22,,,,,,2022-02-19 00:00:00+00:00,0.02084426,0.0038952710875000004,0.01770577767045455,2022-03-21 00:00:00+00:00,0.02135399,0.0041673646109375,0.03664834408380682,2022-04-20 00:00:00+00:00,0.019889640346,0.003264773963909994,0.05148822573794316,,,,,,,,,,,,
1609,397,,Paragon,PRG,Business,,,2017-10-16,ICO,0,2017-09-15,,1.0,6000000.0,100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1412,401,,Hubii Network,HBT,Marketplace,,,2017-09-07,ICO,0,2017-08-24,,0.33,7130256.0,50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,408,,BitDice,CSNO,Gambling and betting,,,2017-09-15,ICO,0,2017-08-15,,0.0875,8748793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,411,,FidentiaX,FDX,Insurance,,,2017-12-05,ICO,0,2017-11-06,,0.0289,1566283.0,2900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,414,,Ties.DB,TIE,Collaboration,,,2017-10-12,ICO,0,2017-09-21,,0.24,6399760.0,33600000.0,,,,2022-03-09 00:00:00+00:00,0.00630907,0.0011790074562500002,0.004912531067708334,,,,,,,,,,,,,,,,,,,,
1280,421,,ATBCoin,ATB,Financial services,,,2017-09-01,ICO,0,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,422,,Polybius,PLBT,Financial services,,,2017-06-30,ICO,0,2017-05-31,,10.0,62956169.0,100000000.0,,,,2022-02-19 00:00:00+00:00,3.00384204,0.561342981225,0.0561342981225,2022-03-21 00:00:00+00:00,1.86131209,0.3632466875640625,0.09245896687890624,2022-04-20 00:00:00+00:00,1.660218423473,0.2725156307036195,0.11971052994926819,,,,,,,,,,,,
1162,424,,Hydro Protocol,HOT,DeFi,,,2018-01-06,ICO,0,,,0.08,,,,,,2022-02-19 00:00:00+00:00,0.00479565,0.0008961870937500001,0.011202338671875001,2022-03-21 00:00:00+00:00,0.00431961,0.0008429988890625,0.02173982478515625,2022-04-20 00:00:00+00:00,0.004455279108,0.0007313093138295876,0.030881191208026095,,,,,,,,,,,,
592,429,1368.0,aXpire,AXPR,Financial services,,,2018-01-12,ICO,0,2018-01-08,,0.1,20000000.0,20000000.0,,,,2022-02-19 00:00:00+00:00,0.00679821,0.00127041549375,0.0127041549375,2022-03-21 00:00:00+00:00,0.0058706,0.00114568428125,0.02416099775,2022-04-20 00:00:00+00:00,0.009550674519,0.0015676901625664922,0.039837899375664926,,,,,,,,,,,,
1664,431,,CoinFi,COFI,Trading and investment,,,2018-01-10,ICO,0,2018-01-10,,0.1,15000000.0,15000000.0,,,,2022-02-19 00:00:00+00:00,0.00258879,0.0004837801312500001,0.004837801312500001,2022-03-21 00:00:00+00:00,0.0021548,0.0004205226875,0.009043028187500001,2022-04-20 00:00:00+00:00,0.002496658616,0.00040981264137979293,0.01314115460129793,,,,,,,,,,,,
1694,432,,Leverj,LEV,Exchange token,,,2017-12-07,ICO,0,2017-11-07,,0.15,13049080.0,51000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,433,599.0,GET Protocol,GET,Protocol,,,2017-12-13,ICO,0,,,0.97,,,,,,2022-02-19 00:00:00+00:00,2.125582,0.39721813625,0.4095032332474227,2022-03-21 00:00:00+00:00,2.05429119,0.40090776504843745,0.8228102075241623,2022-04-20 00:00:00+00:00,2.204189770433,0.36180550521988836,1.1958055737302329,,,,,,,,,,,,
1401,437,,Starbase,STAR,Crowdfunding,,,2017-11-24,ICO,0,2017-11-09,,0.1,8842000.0,10000000.0,,,,2022-02-19 00:00:00+00:00,0.00417823,0.00078080673125,0.0078080673125,2022-03-21 00:00:00+00:00,0.00228742,0.00044640430937500003,0.01227211040625,2022-04-20 00:00:00+00:00,0.003413759014,0.0005603495766685219,0.017875606172935217,,,,,,,,,,,,
1130,441,,BlockCAT,CAT,Smart Contract,,,2017-08-16,ICO,0,2017-08-15,,0.88,6284400.0,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,444,567.0,LockTrip,LOC,Marketplace,,,2017-11-30,ICO,0,,,0.3,,,,,,2022-02-19 00:00:00+00:00,2.32277874,0.43406927703750003,1.446897590125,2022-03-21 00:00:00+00:00,2.39260302,0.466931433121875,3.0033357005312507,2022-04-20 00:00:00+00:00,2.666336837722,0.4376643788111307,4.4622169632350195,,,,,,,,,,,,
1658,454,,SportyCo,SPF,Blockchain Service,,,2017-12-10,ICO,0,2017-11-21,,0.18,5087896.0,16000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,456,677.0,Pluton,PLU,Blockchain Service,Utility,,2020-10-10,ICO,120000000,2020-07-27,,8.0,844847.0,,,,,2022-02-19 00:00:00+00:00,11.6796011,2.1826254555625,0.2728281819453125,2022-03-21 00:00:00+00:00,9.84044057,1.9204234799890625,0.5128811169439453,2022-04-20 00:00:00+00:00,7.676471722255,1.2600501858018582,0.6703873901691776,,,,,,,,,,,,
1661,459,,Bounty0x,BNTY,Marketplace,,,2017-12-16,ICO,0,2017-12-16,,0.0165,1602927.0,1500000.0,,,,2022-02-19 00:00:00+00:00,0.00096627,0.00018057170625,0.010943739772727272,2022-03-21 00:00:00+00:00,0.00077296,0.00015084797500000002,0.020086041287878786,2022-04-20 00:00:00+00:00,0.001854105437,0.0003043411068153842,0.03853095685244753,,,,,,,,,,,,
1167,461,,CVCoin,CVCOIN,Mobile,,,2017-06-21,ICO,0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,469,798.0,Aventus,AVT,Protocol,,,2017-09-06,ICO,0,2017-09-06,,3.4,18780000.0,18800000.0,,,,2022-02-19 00:00:00+00:00,2.91969904,0.5456187581,0.16047610532352943,2022-03-21 00:00:00+00:00,2.45974587,0.48003477994218746,0.3016628053065257,2022-04-20 00:00:00+00:00,2.490271259488,0.408764192293946,0.4218875677459217,,,,,,,,,,,,
1676,470,,Flixxo,FLIXX,Social,,,2017-11-24,ICO,0,2017-10-24,,0.0934,4731021.0,12000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,472,,Devery,EVE,Verification,,,2018-01-19,ICO,0,2018-01-18,,0.17,10000000.0,10000000.0,,,,2022-02-19 00:00:00+00:00,0.00113684,0.00021244697500000004,0.0012496880882352942,2022-03-21 00:00:00+00:00,0.00129637,0.0002529947078125,0.002737892251838235,,,,,,,,,,,,,,,,
2016,484,,AidCoin,AID,Social,,,2018-01-16,ICO,0,2018-01-16,,0.65,18632900.0,18600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,488,,LOCIcoin,LOCI,Blockchain Service,,,2017-12-31,ICO,0,2017-12-08,,0.44,7376751.0,19000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,489,1947.0,Playkey,PKT,Gaming,,,2017-12-01,ICO,0,2017-11-01,,1.73,10340040.0,,,,,2022-02-19 00:00:00+00:00,0.01081383,0.0020208344812500004,0.0011681124169075146,2022-03-21 00:00:00+00:00,0.01116043,0.0021780276671875,0.0024270879470736995,2022-04-20 00:00:00+00:00,0.014526911205,0.0023845117685928597,0.003805418449150497,,,,,,,,,,,,
1859,492,,Change,CAG,Financial services,,,2017-10-16,ICO,0,2017-09-16,,0.44,15963255.0,40000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,496,,Block Array,ARY,Blockchain Service,,,2018-01-10,ICO,0,2018-01-05,,0.26,14375000.0,14400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,505,1504.0,HEROcoin,PLAY,Gambling and betting,,,2017-10-16,ICO,0,2017-09-14,,0.0267,2021034.0,16000000.0,,,,2022-02-19 00:00:00+00:00,0.0162631,0.0030391668125,0.11382647237827714,2022-03-21 00:00:00+00:00,0.01164818,0.002273215128125,0.1989656157537453,2022-04-20 00:00:00+00:00,0.012970456433,0.002129028364809191,0.27870450582150524,,,,,,,,,,,,
1939,518,,Aigang,AIX,Insurance,,,2017-12-15,ICO,0,2017-11-15,,0.35,4228920.0,31100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,520,,Cryptopay,CPAY,Financial services,,,2017-10-30,ICO,0,2017-10-02,,0.31,18148220.0,64300000.0,,,,2022-02-19 00:00:00+00:00,0.08355906,0.015615099337500002,0.05037128818548388,2022-03-21 00:00:00+00:00,0.05733609,0.0111894963140625,0.0864664375856855,2022-04-20 00:00:00+00:00,0.085359495249,0.014011286921911545,0.13166413733378723,,,,,,,,,,,,
1773,528,,Dovu,DOV,DeFi,,,2017-10-17,ICO,0,2017-10-03,,0.11,6644682.0,28400000.0,,,,2022-02-19 00:00:00+00:00,0.01384875,0.00258798515625,0.02352713778409091,,,,,,,,,,,,,,,,,,,,
1302,535,,MyWish,WISH,Smart Contract,,,2017-11-25,ICO,0,2017-10-25,,0.21,2670000.0,2700000.0,,,,2022-02-19 00:00:00+00:00,0.07529684,0.014071096975000003,0.0670052236904762,2022-03-21 00:00:00+00:00,0.07541451,0.014717612967187502,0.13708909496279764,2022-04-20 00:00:00+00:00,0.082185387912,0.013490274836613718,0.2013284989466725,,,,,,,,,,,,
1553,537,,adbank,ADB,Blockchain Service,,,2018-01-14,ICO,0,2017-12-14,,0.0465,13962900.0,14000000.0,,,,2022-02-19 00:00:00+00:00,0.00102211,0.00019100680625,0.004107673252688172,2022-03-21 00:00:00+00:00,0.00088311,0.0001723444359375,0.007814005208333334,2022-04-20 00:00:00+00:00,0.000670551389,0.00011006728518905327,0.01018104359949577,,,,,,,,,,,,
992,540,,Iungo,ING,Mobile,,,2018-02-01,ICO,0,2017-12-07,,1.15,45978800.0,46000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,543,,Opus,OPT,Media,,,2017-08-25,ICO,0,2017-07-24,,0.0362,5737250.0,20000000.0,,,,2022-02-20 00:00:00+00:00,0.00044369,8.291456875e-05,0.002290457700276243,,,,,,,,,,,,,,,,,,,,
1454,547,,Mercury Protocol,GMT,Blockchain Service,,,2017-11-25,ICO,0,2017-10-25,,0.043,4749479.0,20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,550,,Publica,PBL,Marketplace,,,2017-11-15,ICO,0,2017-11-01,,0.1,1046210.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,564,1093.0,Internxt,INXT,Cloud Storage,,,2017-09-28,ICO,0,2017-09-07,,1.02,220800.0,41000000.0,,,,2022-02-19 00:00:00+00:00,13.63323914,2.5477115642875003,2.4977564355759805,2022-03-21 00:00:00+00:00,9.16807137,1.7892064283015625,4.251880384891238,2022-04-20 00:00:00+00:00,10.490037683081,1.7218814072243942,5.939999411581821,,,,,,,,,,,,
1023,567,,Sociall,SCL,Social,,,2017-09-15,ICO,0,2017-08-17,,0.46,5243080.0,15000000.0,,,,2022-02-21 00:00:00+00:00,0.0038757,0.0007242714375000001,0.001574503125,2022-03-23 00:00:00+00:00,0.003396696108,0.000662886474826875,0.003015560678971467,,,,,,,,,,,,,,,,
1669,582,,Hat.Exchange,HAT,,,,2018-02-13,ICO,0,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,583,,Verify,CRED,Verification,,,2017-12-06,ICO,0,2017-12-06,,0.23,2500000.0,2500000.0,,,,2022-02-24 00:00:00+00:00,0.00325352,0.0006080015500000001,0.0026434850000000005,,,,,,,,,,,,,,,,,,,,
1003,604,,REAL,REAL,Real Estate,,,2017-09-30,ICO,0,2017-08-31,,1.32,10604571.0,33000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,618,,Coinlancer,CL,Collaboration,,,2017-12-16,ICO,0,2017-10-04,,0.25,11860153.0,50000000.0,,,,2022-03-13 00:00:00+00:00,0.00352762,0.0006592239875000001,0.0026368959500000003,,,,,,,,,,,,,,,,,,,,
1002,619,,Indorse Token,IND,Blockchain Service,,,2017-09-07,ICO,0,2017-08-08,,0.33,9247392.0,15000000.0,,,,2022-02-19 00:00:00+00:00,0.01348359,0.0025197458812500004,0.0076355935795454554,2022-03-21 00:00:00+00:00,0.00916614,0.0017888295093749999,0.0130562890625,2022-04-20 00:00:00+00:00,0.010685712854,0.0017540003994377682,0.018371441788068994,,,,,,,,,,,,
1525,627,,Qvolta,QVT,Trading and investment,,,2017-10-20,ICO,0,2017-10-10,,0.31,729652.0,4700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,630,1955.0,MicroMoney,AMM,Financial services,,,2017-11-18,ICO,0,2017-10-18,,1.0,10541585.0,30000000.0,,,,2022-02-19 00:00:00+00:00,0.00836293,0.00156282254375,0.00156282254375,2022-03-21 00:00:00+00:00,0.00808834,0.001578490103125,0.003141312646875,2022-04-20 00:00:00+00:00,0.008782182779,0.001441546512878203,0.004582859159753203,,,,,,,,,,,,
1125,634,,bitJob,STU,Marketplace,,,2017-10-13,ICO,0,2017-09-12,,0.39,2726424.0,12000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,648,,SoMee.Social,ONG,Social,Utility,,2017-09-20,ICO,0,2017-08-11,,1.0,1261725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,649,,PiplCoin,PIPL,,,,2018-01-16,ICO,0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,664,,Chronologic,DAY,Blockchain Service,,,2017-08-30,ICO,0,2017-08-28,,15.38,7502120.0,13000000.0,,,,2022-02-20 00:00:00+00:00,0.13229983,0.024723530731250002,0.001607511751056567,2022-03-22 00:00:00+00:00,0.101134399437,0.019737010140127034,0.0028908023973587146,,,,,,,,,,,,,,,,
1007,669,,Accelerator Network,ACC,,,,2018-03-22,ICO,0,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,692,,MagicCoin,MAGE,,,,2017-12-22,ICO,0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,704,,Dinastycoin,DCY,Currency,,,2017-12-16,ICO,0,,,2.0,,,,,,2022-02-21 00:00:00+00:00,0.00078351,0.00014641843125,7.3209215625e-05,2022-03-23 00:00:00+00:00,0.001696227769,0.00033102945054390626,0.00023872394089695313,2022-04-22 00:00:00+00:00,0.001217537641,0.00019985203961803166,0.000338649960705969,,,,,,,,,,,,
1532,708,,CDX Network,CDX,Advertising,,,2017-09-22,ICO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,716,,ArbitrageCT,ARCT,,,,2018-01-15,ICO,0,2017-12-04,,0.01,,,,,,2022-02-19 00:00:00+00:00,7.319e-05,1.3677381250000001e-05,0.001367738125,,,,,,,,,,,,,,,,,,,,
1266,734,,Soma,SCT,Marketplace,,,2017-11-15,ICO,0,2017-09-26,,0.74,6049621.0,39800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392,745,,Capricoin+,CPS,IOT,,,2018-01-24,ICO,0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,753,,AmberCoin,AMBER,,,,2017-10-22,ICO,0,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,770,,Opal,OPAL,Currency,,,2018-03-04,ICO,0,,,0.0403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,772,2070.0,Sovereign Hero,HERO,Financial services,,,2018-02-28,ICO,0,,,4.35,,,,,,2022-02-19 00:00:00+00:00,0.0830309,0.015516399437500002,0.0035669883764367825,2022-03-21 00:00:00+00:00,0.0464451,0.009064051546875,0.005650678387212645,2022-04-20 00:00:00+00:00,0.037124730787,0.006093818308531691,0.007051556159288895,,,,,,,,,,,,
1390,805,,Motocoin,MOTO,,,,2018-01-14,ICO,0,,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,837,,Ammo Reloaded,AMMO,,,,2017-11-18,ICO,0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,951,1996.0,Privatix,PRIX,Network,,,2017-11-16,ICO,0,2017-10-19,,3.33,2391939.0,15000000.0,,,,2022-02-19 00:00:00+00:00,0.08050297,0.01504399251875,0.004517715471096096,2022-03-21 00:00:00+00:00,0.08597666,0.016778882553125,0.009556418940503002,2022-04-20 00:00:00+00:00,0.079690484327,0.013080750273822325,0.013484572175885081,,,,,,,,,,,,
1943,974,,Intelligent Trading Foundation,ITT,,,,2018-02-01,ICO,0,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,997,,FuelCoin,FC2,Currency,,,2017-10-29,ICO,0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,1000,,BlazeCoin,BLZ,Data Service,,,2018-01-20,ICO,0,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404,1037,,Mao Zedong,MAO,,,,2017-10-16,ICO,0,,,2.58,,,,,,2022-02-24 00:00:00+00:00,0.06891181,0.012877894493750002,0.004991431974321706,,,,,,,,,,,,,,,,,,,,
1140,1040,,BERNcash,BERN,Currency,,,2018-01-28,ICO,0,,,0.01,,,,,,2022-02-19 00:00:00+00:00,0.00105432,0.00019702605000000004,0.019702605000000005,,,,,,,,,,,,,,,,,,,,
1946,1051,,Quatloo,QTL,,,,2017-11-01,ICO,0,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,1060,,SixEleven,611,Currency,,,2018-01-19,ICO,0,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,1063,,ICOBID,ICOB,,,,2017-10-23,ICO,0,,,0.0516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,1083,,BoostCoin,BOST,,,,2017-12-01,ICO,0,,,0.0889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,1100,,Comet,CMT,Blockchain infrastructure,,,2017-11-22,ICO,0,,,0.0524,,,,,,2022-02-24 00:00:00+00:00,0.00650703,0.00121600123125,0.023206130367366413,,,,,,,,,,,,,,,,,,,,
1531,1104,,BenjiRolls,BENJI,,,,2017-11-01,ICO,0,,,0.0512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407,1115,,SongCoin,SONG,Currency,,,2017-12-16,ICO,0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,1135,,DAPPSTER,DLISK,,,,2017-11-30,ICO,0,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,1155,,PlayerCoin,PLACO,,,,2017-10-16,ICO,0,,,0.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1195,62.0,Huobi Token,HT,Exchange token,,,2018-02-28,ICO,0,2018-01-24,,1.52,300000000.0,300000000.0,,,,2019-12-06 00:00:00+00:00,2.81395918,0.5258586217625,0.34595961958059207,2020-01-05 00:00:00+00:00,2.89112047,0.5642202292234375,0.7171571388065378,2020-02-04 00:00:00+00:00,3.44452666,0.5653999148266877,1.0891307669819903,2020-03-05 00:00:00+00:00,4.63547375,0.7473597738752494,1.5808148287420227,2020-04-04 00:00:00+00:00,3.53629134,0.5679185660939158,1.9544454643301254,2020-05-04 00:00:00+00:00,4.20935374,0.5557950498525961,2.3201001023910437
361,1198,857.0,Arcblock,ABT,Blockchain infrastructure,,,2018-02-04,ICO,0,2018-02-04,,0.5,45000000.0,45000000.0,,,,2022-02-19 00:00:00+00:00,0.18008981,0.03365428324375,0.0673085664875,2022-03-21 00:00:00+00:00,0.1233083,0.024064385421875,0.11543733733125,2022-04-20 00:00:00+00:00,0.145836624537,0.023938271707797273,0.16331388074684455,,,,,,,,,,,,
183,1200,443.0,Elastos,ELA,Blockchain infrastructure,,,2018-01-23,ICO,0,2018-01-02,,18.09,94073200.0,94100000.0,,,,2022-02-19 00:00:00+00:00,4.05385502,0.7575641568625001,0.041877510053206196,2022-03-21 00:00:00+00:00,3.28761116,0.64159786544375,0.07734450095667497,2022-04-20 00:00:00+00:00,2.557755678885,0.41984138482152317,0.1005529799407282,,,,,,,,,,,,
788,1204,1731.0,Nucleus Vision,NCASH,Blockchain Service,,,2018-01-28,ICO,0,,,0.01,40000000.0,40000000.0,,,,2022-02-19 00:00:00+00:00,0.0011982,0.000223913625,0.0223913625,2022-03-21 00:00:00+00:00,0.00039682,7.7441903125e-05,0.0301355528125,2022-04-20 00:00:00+00:00,0.000227906484,3.740958319133749e-05,0.03387651113163375,,,,,,,,,,,,
706,1212,1580.0,LinkEye,LET,,,,2018-01-31,ICO,0,,,0.0382,,,,,,2022-02-19 00:00:00+00:00,0.00225963,0.00042226835625,0.011054145451570681,2022-03-21 00:00:00+00:00,0.00203822,0.000397771371875,0.02146700858965969,2022-04-20 00:00:00+00:00,0.002125908691,0.0003489561009293263,0.030601985053778175,,,,,,,,,,,,
1868,1218,,SmartMesh,SMT,Blockchain Service,,,2018-03-16,ICO,0,,,0.24,,,,,,2022-02-19 00:00:00+00:00,0.00354539,0.0006625447562500001,0.002760603151041667,2022-03-21 00:00:00+00:00,0.00357628,0.00069793339375,0.005668658958333334,2022-04-20 00:00:00+00:00,0.005511748165,0.0009047228402166446,0.00943833745923602,,,,,,,,,,,,
1028,1220,,Bankex,BKX,Financial services,,,2017-12-28,ICO,0,2017-11-28,,1.48,70600000.0,103500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,1223,1410.0,Genaro Network,GNX,Cloud Storage,,,2017-11-30,ICO,0,2017-11-17,,0.15,11362000.0,29600000.0,,,,2022-02-19 00:00:00+00:00,0.01940221,0.0036257879937500004,0.024171919958333336,2022-03-21 00:00:00+00:00,0.01500233,0.0029277984640625,0.043690576385416666,2022-04-20 00:00:00+00:00,0.012841456095,0.0021078536760007686,0.057742934225421795,,,,,,,,,,,,
1062,1224,,Pundi X (OLD),NPXS,Blockchain Service,,,2018-01-21,ICO,0,2018-01-21,,0.0021,35000000.0,35000000.0,,,,2022-02-19 00:00:00+00:00,0.00376482,0.0007035507375,0.33502416071428576,,,,,,,,,,,,,,,,,,,,
1458,1225,,Matryx,MTX,Collaboration,,,2017-11-15,ICO,0,2017-09-13,,0.29,1984347.0,9000000.0,,,,2022-02-19 00:00:00+00:00,0.0040652,0.00075968425,0.002619600862068966,2022-03-21 00:00:00+00:00,0.00392269,0.0007655374703125,0.005259385242456897,2022-04-20 00:00:00+00:00,0.010316107145,0.0016933316756868953,0.011098459986204812,,,,,,,,,,,,
1389,1229,,Rock,RKT,Exchange token,,,2018-02-08,ICO,0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,1234,,Refereum,RFR,Gaming,,,2018-02-08,ICO,0,,,0.021,32252400.0,32300000.0,,,,2022-02-19 00:00:00+00:00,0.00935811,0.00174879680625,0.08327603839285715,2022-03-21 00:00:00+00:00,0.00982577,0.0019175604265625,0.1745884396577381,2022-04-20 00:00:00+00:00,0.012563862001,0.0020622881476724175,0.2727926371659485,,,,,,,,,,,,
85,1235,217.0,Ren,REN,DeFi,,,2018-02-03,ICO,0,2018-02-03,,0.0571,34299022.0,34400000.0,,,,2019-12-06 00:00:00+00:00,0.0376695,0.007039487812500001,0.12328349934325747,2020-01-05 00:00:00+00:00,0.03540461,0.006909430920312501,0.2442892947953153,2020-02-04 00:00:00+00:00,0.0480296,0.00788379200675424,0.38235920734792894,2020-03-05 00:00:00+00:00,0.06571873,0.010595580482398066,0.5679210371622558,2020-04-04 00:00:00+00:00,0.05061107,0.008127997254569754,0.7102677491512184,2020-05-04 00:00:00+00:00,0.06439815,0.00850300906040388,0.8591820934665227
1134,1240,,SelfSell,SSC,,,,2017-12-10,ICO,0,,,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,1250,621.0,Fusion,FSN,Blockchain infrastructure,,,2018-02-11,ICO,0,2018-02-01,,2.06,42185216.0,42200000.0,,,,2022-02-19 00:00:00+00:00,0.68316286,0.1276660594625,0.06197381527305826,2022-03-21 00:00:00+00:00,0.49801243,0.09719023829218751,0.10915354259936287,2022-04-20 00:00:00+00:00,0.470330611092,0.07720215684200882,0.14663031776538657,,,,,,,,,,,,
1993,1251,,Gems ,GEM,Blockchain Service,,,2018-02-16,ICO,0,,,0.075,,,,,,2022-02-19 00:00:00+00:00,0.00052944,9.893910000000002e-05,0.0013191880000000002,2022-03-21 00:00:00+00:00,0.00020114,3.9253728124999996e-05,0.0018425710416666667,2022-04-20 00:00:00+00:00,0.00021119487,3.4666464596280226e-05,0.0023047905696170702,,,,,,,,,,,,
648,1252,1476.0,Matrix AI Network,MAN,Artificial Intelligence,,,2018-01-17,ICO,0,2018-01-17,,0.36,12592104.0,12600000.0,,,,2022-02-19 00:00:00+00:00,0.01814401,0.00339066186875,0.009418505190972223,2022-03-21 00:00:00+00:00,0.01895872,0.0036999127,0.019696040468750002,2022-04-20 00:00:00+00:00,0.019704212571,0.0032343370248062906,0.028680309982100808,,,,,,,,,,,,
1103,1255,,THEKEY,TKY,Verification,,,2018-01-15,ICO,0,2018-01-15,,0.0352,22000000.0,22000000.0,,,,2022-02-19 00:00:00+00:00,0.00035292,6.595192500000001e-05,0.0018736342329545455,2022-03-21 00:00:00+00:00,0.00030105,5.8751789062500005e-05,0.003542719149502841,2022-04-20 00:00:00+00:00,0.000150151018,2.46464554257044e-05,0.004242902542278534,,,,,,,,,,,,
1014,1257,,Universa,UTNP,Blockchain infrastructure,,,2017-12-09,ICO,0,2017-10-28,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1258,45.0,Tezos,XTZ,Blockchain infrastructure,,,2017-07-14,ICO,0,2017-07-01,,0.47,230533089.0,,,,,2019-12-06 00:00:00+00:00,1.28815509,0.24072398244375004,0.5121786860505321,2020-01-05 00:00:00+00:00,1.25315632,0.244561288075,1.0325218521675532,2020-02-04 00:00:00+00:00,1.99471077,0.3274206910803462,1.729161620423609,2020-03-05 00:00:00+00:00,3.08760341,0.4978025355691096,2.7883159514217146,2020-04-04 00:00:00+00:00,1.67796621,0.26947671227146186,3.3616706583822715,2020-05-04 00:00:00+00:00,2.74919128,0.36299797995164984,4.134006785938973
1549,1261,,MOAC,MOAC,Blockchain infrastructure,,,2017-07-30,ICO,0,2017-07-01,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,1264,,Scry.info,DDD,,,,2018-01-19,ICO,0,2018-01-01,,0.15,,,,,,2022-02-19 00:00:00+00:00,0.0026157,0.0004888089375,0.0032587262500000003,2022-03-21 00:00:00+00:00,0.00197482,0.000385398465625,0.005828049354166667,2022-04-20 00:00:00+00:00,0.00214180224,0.0003515649386994754,0.00817181561216317,,,,,,,,,,,,
