,id,rank,slug,name,symbol,category,rounds,tokenRole,totalTokensForSale
13,8491,37.0,hedera-hashgraph,Hedera,HBAR,Blockchain infrastructure,"[{'startDate': '2018-08-14', 'endDate': '2018-08-16', 'type': 'ICO', 'tokensForSale': 833333333, 'values': {'USD': {'price': 0.12, 'raise': 100000000}}}]",Utility,14400000.0
14,26691,41.0,axie-infinity,Axie Infinity,AXS,Gaming,"[{'startDate': '2020-10-27', 'endDate': '2020-11-04', 'type': 'IEO', 'tokensForSale': 29700000, 'values': {'USD': {'price': 0.1, 'hardCap': 2970000, 'raise': 2970000}}, 'ieoPlatformExchange': {'id': 2, 'name': 'Binance', 'slug': 'binance'}}, {'type': 'Private', 'tokensForSale': 10800000, 'values': {'USD': {'price': 0.08}}}]",Utility,
15,26233,43.0,filecoin,Filecoin,FIL,Cloud Storage,"[{'startDate': '2017-08-10', 'endDate': '2017-09-08', 'type': 'ICO', 'tokensForSale': 0, 'values': {'BTC': {'price': 0.002002222}, 'USD': {'price': 5, 'hardCap': 40000000, 'raise': 257000000}}}]",Utility,
16,121,44.0,decentraland,Decentraland,MANA,VR,"[{'startDate': '2017-08-17', 'endDate': '2017-08-19', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.024, 'hardCap': 20000000, 'raise': 24137000}, 'BTC': {'price': 5.806e-06}, 'ETH': {'price': 7.992e-05}}}]",,
17,1258,45.0,tezos,Tezos,XTZ,Blockchain infrastructure,"[{'startDate': '2017-07-01', 'endDate': '2017-07-14', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.47, 'raise': 230533089}, 'BTC': {'price': 0.0002}, 'ETH': {'price': 0.0023943156225908}}}]",,
18,21407,46.0,sandbox,The Sandbox,SAND,Gaming,"[{'startDate': '2020-08-06', 'endDate': '2020-08-13', 'type': 'IEO', 'tokensForSale': 360000000, 'values': {'USD': {'price': 0.008333, 'hardCap': 3000000, 'raise': 3000000}}, 'ieoPlatformExchange': {'id': 2, 'name': 'Binance', 'slug': 'binance'}}, {'type': 'Private', 'tokensForSale': 120000000, 'values': {'USD': {'price': 0.005, 'raise': 600000}}}, {'type': 'Pre-sale', 'tokensForSale': 515400000, 'values': {'USD': {'price': 0.0036, 'raise': 1855440}}}]",Utility,
19,2,53.0,eos,EOS,EOS,Blockchain infrastructure,"[{'startDate': '2017-06-26', 'endDate': '2018-06-26', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.99, 'raise': 4196874404}, 'BTC': {'price': 0.000159543739775508}, 'ETH': {'price': 0.00326797}}}]",,
20,124,54.0,theta-token,Theta Token,THETA,Entertainment,"[{'endDate': '2018-01-04', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.12, 'hardCap': 20000000, 'raise': 20000000}, 'BTC': {'price': 7.797e-06}, 'ETH': {'price': 0.0001587}}}]",,
21,8549,57.0,klaytn,Klaytn ,KLAY,Blockchain infrastructure,"[{'startDate': '2018-12-01', 'endDate': '2018-12-31', 'type': 'Private', 'tokensForSale': 0, 'values': {'USD': {'price': 0.03}}}, {'startDate': '2019-04-01', 'endDate': '2019-04-30', 'type': 'Private', 'tokensForSale': 0, 'values': {'USD': {'price': 0.08}}}]",Utility,
22,26187,60.0,the-graph,The Graph,GRT,Data Service,"[{'startDate': '2020-10-22', 'endDate': '2020-10-25', 'type': 'ICO', 'tokensForSale': 400000000, 'values': {'USD': {'price': 0.03, 'hardCap': 13000000, 'raise': 13000000}}}, {'type': 'Private', 'tokensForSale': 200000000, 'values': {'USD': {'price': 0.026, 'raise': 5200000}}}, {'type': 'Private', 'tokensForSale': 3400000000, 'values': {'USD': {'price': 0.003, 'raise': 7500000}}}]",Utility,
23,7234,61.0,luna,Terra,LUNA,Blockchain infrastructure,"[{'startDate': '2019-01-30', 'endDate': '2019-02-28', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'hardCap': 72000000, 'price': 0.8, 'raise': 62000000}}}]",Utility,
