,Unnamed: 0,id,rank,slug,name,symbol,category,rounds,tokenRole,totalTokensForSale,startDate,endDate,type,tokensForSale,values,ieoPlatformExchange,USD,ICO_price,raise,hardCap,date_1,price_1,sale_1,cumulative_realized_ROI_1,date_2,price_2,sale_2,cumulative_realized_ROI_2,date_3,price_3,sale_3,cumulative_realized_ROI_3,date_4,price_4,sale_4,cumulative_realized_ROI_4,date_5,price_5,sale_5,cumulative_realized_ROI_5,date_6,price_6,sale_6,cumulative_realized_ROI_6
36,36,64,83,loopring,Loopring,LRC,DeFi,"{'endDate': '2017-08-16', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.06}, 'BTC': {'price': 1.44606146369382e-05}, 'ETH': {'price': 0.000205575178768077}}}",,,,2017-08-16,ICO,0,"{'USD': {'price': 0.06}, 'BTC': {'price': 1.44606146369382e-05}, 'ETH': {'price': 0.000205575178768077}}",,{'price': 0.06},0.06,,,2019-12-06 00:00:00+00:00,0.02381036,0.004449561025,0.07415935041666667,2020-01-05 00:00:00+00:00,0.02195767,0.0042851765359375,0.14557895934895834,2020-02-04 00:00:00+00:00,0.02992075,0.0049113248847813,0.22743437409531334,2020-03-05 00:00:00+00:00,0.04078478,0.00657557470978059,0.3370272859249899,2020-04-04 00:00:00+00:00,0.02803525,0.00450238327368255,0.4120670071530324,2020-05-04 00:00:00+00:00,0.03458616,0.004566690686682432,0.4881785185977396
49,49,77,108,iostoken,IOStoken,IOST,Blockchain infrastructure,"{'endDate': '2018-01-03', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.01, 'hardCap': 31300000, 'raise': 31255000}, 'BTC': {'price': 6.7121099177042e-07}, 'ETH': {'price': 1.14396454044705e-05, 'hardCap': 35000}}}",,,,2018-01-03,ICO,0,"{'USD': {'price': 0.01, 'hardCap': 31300000, 'raise': 31255000}, 'BTC': {'price': 6.7121099177042e-07}, 'ETH': {'price': 1.14396454044705e-05, 'hardCap': 35000}}",,"{'price': 0.01, 'hardCap': 31300000, 'raise': 31255000}",0.01,31255000.0,31300000.0,2019-12-06 00:00:00+00:00,0.00582495,0.00108853753125,0.10885375312500001,2020-01-05 00:00:00+00:00,0.00486278,0.000949001909375,0.2037539440625,2020-02-04 00:00:00+00:00,0.00611695,0.00100406335917258,0.304160279979758,2020-03-05 00:00:00+00:00,0.00546927,0.000881789566915935,0.3923392366713515,2020-04-04 00:00:00+00:00,0.0031758,0.00051002465826276,0.44334170249762744,2020-05-04 00:00:00+00:00,0.00382379,0.0005048859480448081,0.4938302973021083
86,86,79,203,dent,Dent,DENT,Marketplace,"{'endDate': '2017-07-26', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.0006}, 'BTC': {'price': 2.39520666703835e-07}, 'ETH': {'price': 3.00089772487679e-06}}}",,,,2017-07-26,ICO,0,"{'USD': {'price': 0.0006}, 'BTC': {'price': 2.39520666703835e-07}, 'ETH': {'price': 3.00089772487679e-06}}",,{'price': 0.0006},0.0006,,,2019-12-06 00:00:00+00:00,0.00017764,3.3196475e-05,0.055327458333333336,2020-01-05 00:00:00+00:00,0.00017035,3.32448671875e-05,0.1107355703125,2020-02-04 00:00:00+00:00,0.00017991,2.9531226992004002e-05,0.15995428196584,2020-03-05 00:00:00+00:00,0.0001734,2.79566214327e-05,0.20654865102034,2020-04-04 00:00:00+00:00,0.00011694,1.8780239164068002e-05,0.23784904962712003,2020-05-04 00:00:00+00:00,0.00015144,1.9995849137088003e-05,0.2711754648556
7,7,85,24,chainlink,ChainLink,LINK,DeFi,"{'startDate': '2017-09-19', 'endDate': '2017-09-19', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.11, 'hardCap': 32000000, 'raise': 32000000}, 'BTC': {'price': 2.7857e-05}, 'ETH': {'price': 0.00038462}}}",,,2017-09-19,2017-09-19,ICO,0,"{'USD': {'price': 0.11, 'hardCap': 32000000, 'raise': 32000000}, 'BTC': {'price': 2.7857e-05}, 'ETH': {'price': 0.00038462}}",,"{'price': 0.11, 'hardCap': 32000000, 'raise': 32000000}",0.11,32000000.0,32000000.0,2019-12-06 00:00:00+00:00,2.01278329,0.37613887731875,3.419444339261364,2020-01-05 00:00:00+00:00,1.82482825,0.3561266381640625,6.656959231661932,2020-02-04 00:00:00+00:00,2.76840856,0.4544188849534041,10.788040003965603,2020-03-05 00:00:00+00:00,4.64358079,0.7486668410506805,17.594102195335427,2020-04-04 00:00:00+00:00,2.31121083,0.3711740392165564,20.968411642758667,2020-05-04 00:00:00+00:00,3.72812565,0.4922546094922619,25.44345354723378
60,60,86,136,bancor,Bancor,BNT,Blockchain Service,"{'endDate': '2017-06-12', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 3.92, 'raise': 153000000}, 'ETH': {'price': 0.01}}}",,,,2017-06-12,ICO,0,"{'USD': {'price': 3.92, 'raise': 153000000}, 'ETH': {'price': 0.01}}",,"{'price': 3.92, 'raise': 153000000}",3.92,153000000.0,,2019-12-06 00:00:00+00:00,0.2685991,0.0501944568125,0.012804708370535715,2020-01-05 00:00:00+00:00,0.22298867,0.043517632629687504,0.02390614526586416,2020-02-04 00:00:00+00:00,0.25307666,0.04154112774630771,0.034503371731758985,2020-03-05 00:00:00+00:00,0.27763222,0.044761585190657906,0.04592214346406968,2020-04-04 00:00:00+00:00,0.18320931,0.02942290626717868,0.053427986899574446,2020-05-04 00:00:00+00:00,0.20377915,0.02690661080747508,0.06029191822801197
72,72,87,171,polymath-network,Polymath,POLY,Blockchain Service,"{'endDate': '2018-01-13', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.4, 'raise': 96194697}, 'BTC': {'price': 2.82931876597472e-05}, 'ETH': {'price': 0.000301512115910897}}}",,,,2018-01-13,ICO,0,"{'USD': {'price': 0.4, 'raise': 96194697}, 'BTC': {'price': 2.82931876597472e-05}, 'ETH': {'price': 0.000301512115910897}}",,"{'price': 0.4, 'raise': 96194697}",0.4,96194697.0,,2019-12-06 00:00:00+00:00,0.0215138,0.0040203913750000006,0.0100509784375,2020-01-05 00:00:00+00:00,0.01747152,0.0034096763250000004,0.018575169250000002,2020-02-04 00:00:00+00:00,0.02635208,0.004325547530384352,0.02938903807596088,2020-03-05 00:00:00+00:00,0.02625079,0.004232314869315495,0.039969825249249614,2020-04-04 00:00:00+00:00,0.01923906,0.003089739593739132,0.047694174233597446,2020-05-04 00:00:00+00:00,0.02168561,0.0028633266376500723,0.05485249082772263
53,53,101,119,gnosis-gno,Gnosis,GNO,Blockchain infrastructure,"{'endDate': '2017-04-24', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 25.51}, 'BTC': {'price': 0.0193486657788529}, 'ETH': {'price': 0.486208229025296}}}",,,,2017-04-24,ICO,0,"{'USD': {'price': 25.51}, 'BTC': {'price': 0.0193486657788529}, 'ETH': {'price': 0.486208229025296}}",,{'price': 25.51},25.51,,,2019-12-06 00:00:00+00:00,13.34716992,2.4942523788,0.09777547545276362,2020-01-05 00:00:00+00:00,11.13268163,2.1726123993546875,0.1829425628441665,2020-02-04 00:00:00+00:00,14.32030764,2.350598941204875,0.2750867784931228,2020-03-05 00:00:00+00:00,16.56250284,2.670309238038631,0.3797637380399135,2020-04-04 00:00:00+00:00,10.12899608,1.626688634122689,0.44353044263115965,2020-05-04 00:00:00+00:00,20.17010195,2.6632218414678057,0.5479295740097486
57,57,105,131,wax,WAX,WAXP,Gaming,"{'startDate': '2017-11-15', 'endDate': '2017-11-29', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.32, 'hardCap': 9600000, 'raise': 9600000}, 'BTC': {'price': 2.8919e-05}, 'ETH': {'price': 0.00067, 'hardCap': 20000}}}",,,2017-11-15,2017-11-29,ICO,0,"{'USD': {'price': 0.32, 'hardCap': 9600000, 'raise': 9600000}, 'BTC': {'price': 2.8919e-05}, 'ETH': {'price': 0.00067, 'hardCap': 20000}}",,"{'price': 0.32, 'hardCap': 9600000, 'raise': 9600000}",0.32,9600000.0,9600000.0,2019-12-06 00:00:00+00:00,0.02283511,0.0042673111812500004,0.013335347441406251,2020-01-05 00:00:00+00:00,0.01739335,0.0033944209609374997,0.02394291294433594,2020-02-04 00:00:00+00:00,0.02419176,0.003970943004258144,0.036352109832642636,2020-03-05 00:00:00+00:00,0.046118,0.007435429453479,0.05958782687476452,2020-04-04 00:00:00+00:00,0.02972193,0.004773259396422846,0.0745042624885859,2020-05-04 00:00:00+00:00,0.03485237,0.004601840548005625,0.08888501420110348
32,32,112,74,enjin-coin,Enjin Coin,ENJ,Gaming,"{'startDate': '2017-10-03', 'endDate': '2017-11-01', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.0512, 'hardCap': 25000000, 'raise': 22959609}, 'BTC': {'price': 7.918e-06}, 'ETH': {'price': 0.00017}}}",,,2017-10-03,2017-11-01,ICO,0,"{'USD': {'price': 0.0512, 'hardCap': 25000000, 'raise': 22959609}, 'BTC': {'price': 7.918e-06}, 'ETH': {'price': 0.00017}}",,"{'price': 0.0512, 'hardCap': 25000000, 'raise': 22959609}",0.0512,22959609.0,25000000.0,2019-12-06 00:00:00+00:00,0.09364955,0.01750075965625,0.3418117120361328,2020-01-05 00:00:00+00:00,0.07716535,0.0150593003359375,0.6359386717224121,2020-02-04 00:00:00+00:00,0.11374042,0.018669858046722648,1.0005843366974638,2020-03-05 00:00:00+00:00,0.10553621,0.017015201098108005,1.3329124831448858,2020-04-04 00:00:00+00:00,0.08990144,0.014437921535779968,1.6149031381405883,2020-05-04 00:00:00+00:00,0.13646057,0.018017993732706267,1.9668170782325074
19,19,121,44,decentraland,Decentraland,MANA,VR,"{'startDate': '2017-08-17', 'endDate': '2017-08-19', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.024, 'hardCap': 20000000, 'raise': 24137000}, 'BTC': {'price': 5.806e-06}, 'ETH': {'price': 7.992e-05}}}",,,2017-08-17,2017-08-19,ICO,0,"{'USD': {'price': 0.024, 'hardCap': 20000000, 'raise': 24137000}, 'BTC': {'price': 5.806e-06}, 'ETH': {'price': 7.992e-05}}",,"{'price': 0.024, 'hardCap': 20000000, 'raise': 24137000}",0.024,24137000.0,20000000.0,2019-12-06 00:00:00+00:00,0.02464778,0.0046060538875,0.19191891197916666,2020-01-05 00:00:00+00:00,0.03555547,0.0069388721921875,0.48103858665364585,2020-02-04 00:00:00+00:00,0.03917157,0.006429795593925708,0.7489467364005504,2020-03-05 00:00:00+00:00,0.04723447,0.007615433658386535,1.0662564721666559,2020-04-04 00:00:00+00:00,0.02584623,0.004150832742342306,1.2392078364309187,2020-05-04 00:00:00+00:00,0.03524463,0.004653633811228776,1.4331092452321177
16,16,124,41,theta-token,Theta Token,THETA,Entertainment,"{'endDate': '2018-01-04', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.12, 'hardCap': 20000000, 'raise': 20000000}, 'BTC': {'price': 7.797e-06}, 'ETH': {'price': 0.0001587}}}",,,,2018-01-04,ICO,0,"{'USD': {'price': 0.12, 'hardCap': 20000000, 'raise': 20000000}, 'BTC': {'price': 7.797e-06}, 'ETH': {'price': 0.0001587}}",,"{'price': 0.12, 'hardCap': 20000000, 'raise': 20000000}",0.12,20000000.0,20000000.0,2019-12-06 00:00:00+00:00,0.07759274,0.0145001432875,0.12083452739583334,2020-01-05 00:00:00+00:00,0.09345972,0.01823924848125,0.2728282647395833,2020-02-04 00:00:00+00:00,0.10724277,0.01760330489756699,0.4195224722193083,2020-03-05 00:00:00+00:00,0.1317878,0.0212476449483759,0.5965861801224408,2020-04-04 00:00:00+00:00,0.07564979,0.012149146134013336,0.6978290645725519,2020-05-04 00:00:00+00:00,0.14429568,0.01905252673278874,0.8566001206791248
95,95,142,222,medibloc,MediBloc,MED,Healthcare,"{'startDate': '2017-11-13', 'endDate': '2017-12-15', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.0088, 'hardCap': 30000000, 'raise': 21271251}, 'BTC': {'price': 3.38e-07}, 'ETH': {'price': 1.269e-05}}}",,,2017-11-13,2017-12-15,ICO,0,"{'USD': {'price': 0.0088, 'hardCap': 30000000, 'raise': 21271251}, 'BTC': {'price': 3.38e-07}, 'ETH': {'price': 1.269e-05}}",,"{'price': 0.0088, 'hardCap': 30000000, 'raise': 21271251}",0.0088,21271251.0,30000000.0,2019-12-06 00:00:00+00:00,0.0031893,0.0005960004375,0.06772732244318182,2020-01-05 00:00:00+00:00,0.00311464,0.0006078414625,0.13680021590909092,2020-02-04 00:00:00+00:00,0.00312381,0.000512756056861164,0.19506794964331406,2020-03-05 00:00:00+00:00,0.00350225,0.000564654425678625,0.25923322528861237,2020-04-04 00:00:00+00:00,0.0025967,0.00041702280688674,0.30662218061665103,2020-05-04 00:00:00+00:00,0.00288307,0.00038067507112826406,0.349880711426681
69,69,147,166,telcoin,Telcoin,TEL,Mobile,"{'startDate': '2017-12-12', 'endDate': '2017-12-31', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.0013, 'hardCap': 25000000, 'raise': 25000000}, 'BTC': {'price': 9.6e-08}, 'ETH': {'price': 1.8165e-06}}}",,,2017-12-12,2017-12-31,ICO,0,"{'USD': {'price': 0.0013, 'hardCap': 25000000, 'raise': 25000000}, 'BTC': {'price': 9.6e-08}, 'ETH': {'price': 1.8165e-06}}",,"{'price': 0.0013, 'hardCap': 25000000, 'raise': 25000000}",0.0013,25000000.0,25000000.0,2019-12-06 00:00:00+00:00,0.00028445,5.315659375e-05,0.04088968750000001,2020-01-05 00:00:00+00:00,0.00035149,6.85954703125e-05,0.09365543389423077,2020-02-04 00:00:00+00:00,0.00023818,3.9095923767192004e-05,0.12372922140745539,2020-03-05 00:00:00+00:00,0.00014611,2.3556758693955e-05,0.14184980501819003,2020-04-04 00:00:00+00:00,0.00011471,1.8422107358562e-05,0.15602065683246846,2020-05-04 00:00:00+00:00,0.00028569,3.772196341768801e-05,0.18503755176915157
76,76,319,182,swissborg,SwissBorg,CHSB,Financial services,"{'startDate': '2017-12-07', 'endDate': '2018-01-10', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.1, 'hardCap': 50000000, 'raise': 50000000}, 'BTC': {'price': 6.833e-06}, 'ETH': {'price': 0.0002374}}}",,,2017-12-07,2018-01-10,ICO,0,"{'USD': {'price': 0.1, 'hardCap': 50000000, 'raise': 50000000}, 'BTC': {'price': 6.833e-06}, 'ETH': {'price': 0.0002374}}",,"{'price': 0.1, 'hardCap': 50000000, 'raise': 50000000}",0.1,50000000.0,50000000.0,2019-12-06 00:00:00+00:00,0.00821593,0.00153535191875,0.0153535191875,2020-01-05 00:00:00+00:00,0.01754772,0.00342454723125,0.0495989915,2020-02-04 00:00:00+00:00,0.02801053,0.004597772884199532,0.09557672034199531,2020-03-05 00:00:00+00:00,0.02183074,0.00351968704599597,0.13077359080195503,2020-04-04 00:00:00+00:00,0.02412791,0.003874875323491602,0.16952234403687103,2020-05-04 00:00:00+00:00,0.01607119,0.002122009315197288,0.1907424371888439
37,37,1195,84,huobi-token,Huobi Token,HT,Exchange token,"{'startDate': '2018-01-24', 'endDate': '2018-02-28', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 1.52, 'hardCap': 300000000, 'raise': 300000000}, 'BTC': {'price': 0.000143485144120043}, 'ETH': {'price': 0.0017478486187853}}}",,,2018-01-24,2018-02-28,ICO,0,"{'USD': {'price': 1.52, 'hardCap': 300000000, 'raise': 300000000}, 'BTC': {'price': 0.000143485144120043}, 'ETH': {'price': 0.0017478486187853}}",,"{'price': 1.52, 'hardCap': 300000000, 'raise': 300000000}",1.52,300000000.0,300000000.0,2019-12-06 00:00:00+00:00,2.81395918,0.5258586217625,0.34595961958059207,2020-01-05 00:00:00+00:00,2.89112047,0.5642202292234375,0.7171571388065378,2020-02-04 00:00:00+00:00,3.44452666,0.5653999148266877,1.0891307669819903,2020-03-05 00:00:00+00:00,4.63547375,0.7473597738752494,1.5808148287420227,2020-04-04 00:00:00+00:00,3.53629134,0.5679185660939158,1.9544454643301254,2020-05-04 00:00:00+00:00,4.20935374,0.5557950498525961,2.3201001023910437
